Date,Percent Change
1/20/2022,-27
1/21/2022,-20
1/22/2022,-19
1/23/2022,-21
1/24/2022,-28
1/25/2022,-22
1/26/2022,-15
1/27/2022,-12
1/28/2022,-12
1/29/2022,-17
1/30/2022,27
1/31/2022,-22
2/1/2022,-25
2/2/2022,-27
2/3/2022,31
2/4/2022,-21
2/5/2022,-7
2/6/2022,-4
2/7/2022,-23
2/8/2022,-16
2/9/2022,-23
2/10/2022,-52
2/11/2022,-8
2/12/2022,-4
2/13/2022,-35
2/14/2022,68
2/15/2022,-7
2/16/2022,-4
2/17/2022,-12
2/18/2022,-4
2/19/2022,4
2/20/2022,27
2/21/2022,26.84
2/22/2022,-6.47
2/23/2022,-4.26
2/24/2022,-8.05
2/25/2022,-4.48
2/26/2022,2.21
2/27/2022,6
2/28/2022,-6.03
3/1/2022,-11.57
3/2/2022,-8.71
3/3/2022,-6.62
3/4/2022,-4.96
3/5/2022,-0.98
3/6/2022,0.69
3/7/2022,-14.22
3/8/2022,-12.15
3/9/2022,-12.28
3/10/2022,-9.01
3/11/2022,-7.75
3/12/2022,-8.81
3/13/2022,0.82
3/14/2022,-1.95
3/15/2022,-0.95
3/16/2022,2.19
3/17/2022,0.89
3/18/2022,2.36
3/19/2022,-0.67
3/20/2022,0.07
3/21/2022,-6.09
3/22/2022,-7.38
3/23/2022,-6.16
3/24/2022,-4.12
3/25/2022,-0.28
3/26/2022,-0.68
3/27/2022,2.08
3/28/2022,-3.90
3/29/2022,-1.57
3/30/2022,-3.08
3/31/2022,-1.67
